file,line,placeholder
/app/docs/leadership-review/day-0-5/01-kickoff-comms/email-to-leaders.md,12,<date>
/app/docs/leadership-review/day-0-5/OPERATOR_EXECUTION_CHECKLIST.md,7,<name>
/app/docs/leadership-review/day-0-5/OPERATOR_EXECUTION_CHECKLIST.md,11,<name>
/app/docs/leadership-review/day-0-5/OPERATOR_EXECUTION_CHECKLIST.md,16,<name>
/app/docs/leadership-review/day-0-5/OPERATOR_EXECUTION_CHECKLIST.md,21,<name>
/app/docs/leadership-review/day-0-5/OPERATOR_EXECUTION_CHECKLIST.md,21,<phone>
/app/docs/leadership-review/day-0-5/05-compliance-platform-rfp/drata-vanta-secureframe-eval.md,64,<Procurement lead>
/app/docs/leadership-review/day-0-5/05-compliance-platform-rfp/vendor-cover-emails.md,14,<name>
/app/docs/leadership-review/day-0-5/05-compliance-platform-rfp/vendor-cover-emails.md,35,<Compliance PM name>
/app/docs/leadership-review/day-0-5/05-compliance-platform-rfp/vendor-cover-emails.md,36,<phone>
/app/docs/leadership-review/day-0-5/07-phase-0-gate-review/gate-review-template.md,99,<date>
/app/docs/leadership-review/day-0-5/06-managed-istio-rfp/rfp.md,96,<Procurement lead>
/app/docs/leadership-review/day-0-5/06-managed-istio-rfp/vendor-cover-emails.md,14,<name>
/app/docs/leadership-review/day-0-5/06-managed-istio-rfp/vendor-cover-emails.md,46,<Platform Lead name>
/app/docs/leadership-review/day-0-5/06-managed-istio-rfp/vendor-cover-emails.md,47,<phone>
/app/docs/leadership-review/day-0-5/03-steering-committee/minutes/2026-01-09-kickoff.md,13,<name>
/app/docs/leadership-review/day-0-5/03-steering-committee/minutes/2026-01-09-kickoff.md,14,<name>
/app/docs/leadership-review/day-0-5/03-steering-committee/minutes/2026-01-09-kickoff.md,15,<name>
/app/docs/leadership-review/day-0-5/03-steering-committee/minutes/2026-01-09-kickoff.md,16,<name>
/app/docs/leadership-review/day-0-5/03-steering-committee/minutes/2026-01-09-kickoff.md,17,<name>
/app/docs/leadership-review/day-0-5/03-steering-committee/minutes/2026-01-09-kickoff.md,18,<name>
/app/docs/leadership-review/day-0-5/03-steering-committee/minutes/2026-01-09-kickoff.md,19,<name>
/app/docs/leadership-review/day-0-5/03-steering-committee/minutes/2026-01-09-kickoff.md,20,<name>
/app/docs/leadership-review/day-0-5/03-steering-committee/minutes/2026-01-09-kickoff.md,21,<name>
/app/docs/leadership-review/day-0-5/03-steering-committee/minutes/2026-01-09-kickoff.md,22,<name>
/app/docs/leadership-review/day-0-5/02-requisitions/jd-senior-platform-engineer.md,47,<link>
/app/docs/leadership-review/day-0-5/02-requisitions/jd-compliance-program-manager.md,45,<link>
/app/docs/leadership-review/day-0-5/02-requisitions/jd-senior-sre.md,42,<link>
/app/docs/leadership-review/day-0-5/02-requisitions/jd-staff-devsecops-engineer.md,42,<link>
/app/docs/leadership-review/gate-reviews/phase-0-2026-02-06.md,13,<name>
/app/docs/leadership-review/gate-reviews/phase-0-2026-02-06.md,14,<name>
/app/docs/leadership-review/gate-reviews/phase-0-2026-02-06.md,15,<name>
/app/docs/leadership-review/gate-reviews/phase-0-2026-02-06.md,16,<name>
/app/docs/leadership-review/gate-reviews/phase-0-2026-02-06.md,17,<name>
/app/docs/leadership-review/gate-reviews/phase-0-2026-02-06.md,18,<name>
/app/docs/leadership-review/gate-reviews/phase-0-2026-02-06.md,19,<name>
/app/docs/leadership-review/gate-reviews/phase-0-2026-02-06.md,20,<name>
/app/docs/leadership-review/gate-reviews/phase-0-2026-02-06.md,21,<name>
